sensitivity,confidence,outcome,n,mean,sd,se,ci_low,ci_high,outcome_label
0.1,0.2,fragmentation,30,0.05968403680604904,0.010416523102006013,0.0019017882245807934,0.055794443156077476,0.0635736304560206,Opinion fragmentation
0.1,0.2,manipulation_rate,30,0.025173333333333332,0.002556928833086925,4.668291999390235e-4,0.024218560415804946,0.02612810625086172,Perceived manipulation rate
0.1,0.2,mean_trust,30,0.9293700000000003,0.04593984935348273,0.008387430593097203,0.9122157783296672,0.9465242216703333,Mean epistemic trust
0.1,0.2,update_rate,30,0.48326444444444444,0.050235489076026076,0.009171703518081279,0.4645062045404118,0.5020226843484771,Opinion-update rate
0.1,0.5,fragmentation,30,5.821781445090068e-31,4.098083049148231e-31,7.482041761826795e-32,4.291532085593772e-31,7.352030804586364e-31,Opinion fragmentation
0.1,0.5,manipulation_rate,30,6.988888888888889e-4,2.189286581138944e-4,3.997072151110546e-5,6.171395844369446e-4,7.806381933408331e-4,Perceived manipulation rate
0.1,0.5,mean_trust,30,1,0,0,1,1,Mean epistemic trust
0.1,0.5,update_rate,30,0.9968288888888889,9.39745352861501e-4,1.7157324269096537e-4,0.9964779822071405,0.9971797955706373,Opinion-update rate
0.1,0.8,fragmentation,30,4.608266604818146e-31,3.8565383550973167e-31,7.041043503235562e-32,3.1682115163818196e-31,6.048321693254472e-31,Opinion fragmentation
0.1,0.8,manipulation_rate,30,3.9666666666666664e-4,1.3343387014228968e-4,2.436158020404904e-5,3.4684164070415224e-4,4.4649169262918104e-4,Perceived manipulation rate
0.1,0.8,mean_trust,30,1,0,0,1,1,Mean epistemic trust
0.1,0.8,update_rate,30,0.9995077777777778,1.4051992491309745e-4,2.565531088461188e-5,0.9994553067754784,0.9995602487800771,Opinion-update rate
0.5,0.2,fragmentation,30,0.06842689374298076,0.010086523311235067,0.001841538781455049,0.06466052404001196,0.07219326344594956,Opinion fragmentation
0.5,0.2,manipulation_rate,30,0.13599222222222224,0.013298436180736778,0.0024279511585774604,0.13102650454304918,0.1409579399013953,Perceived manipulation rate
0.5,0.2,mean_trust,30,0.1310033333333335,0.1558993518894171,0.028463197243423125,0.07278955862121467,0.18921710804545233,Mean epistemic trust
0.5,0.2,update_rate,30,0.45579,0.053251045103337655,0.009722266204607683,0.4359057329696313,0.47567426703036864,Opinion-update rate
0.5,0.5,fragmentation,30,5.278142650229149e-31,3.5020103426407117e-31,6.393766870935712e-32,3.970470497296772e-31,6.585814803161527e-31,Opinion fragmentation
0.5,0.5,manipulation_rate,30,0.004408888888888889,8.888381211555974e-4,1.622788963091435e-4,0.0040769912798648495,0.004740786497912929,Perceived manipulation rate
0.5,0.5,mean_trust,30,1,0,0,1,1,Mean epistemic trust
0.5,0.5,update_rate,30,0.9934511111111111,0.0015979808459939294,2.9175005193735466e-4,0.9928544152567951,0.994047806965427,Opinion-update rate
0.5,0.8,fragmentation,30,5.274988534656927e-31,4.543164079897622e-31,8.294644830023768e-32,3.578543186924188e-31,6.971433882389666e-31,Opinion fragmentation
0.5,0.8,manipulation_rate,30,0.0028977777777777778,4.930111819652614e-4,9.001111515488594e-5,0.0027136843769415848,0.0030818711786139708,Perceived manipulation rate
0.5,0.8,mean_trust,30,1,0,0,1,1,Mean epistemic trust
0.5,0.8,update_rate,30,0.9970188888888889,5.399505677199584e-4,9.858103529264733e-5,0.9968172680333562,0.9972205097444216,Opinion-update rate
0.9,0.2,fragmentation,30,0.07257605589896401,0.007440880925101548,0.0013585127767960087,0.06979758529864481,0.07535452649928322,Opinion fragmentation
0.9,0.2,manipulation_rate,30,0.26710555555555554,0.01648905380167658,0.003010475573031526,0.260948441676675,0.27326266943443606,Perceived manipulation rate
0.9,0.2,mean_trust,30,0.01991666666666667,0.007009800200474662,0.0012798085644680694,0.01729916425436127,0.022534169078972068,Mean epistemic trust
0.9,0.2,update_rate,30,0.4118588888888889,0.04755862579608193,0.00868297738415372,0.39410020616084984,0.42961757161692793,Opinion-update rate
0.9,0.5,fragmentation,30,1.1834636681825008e-13,6.482073763553928e-13,1.1834593399036316e-13,-1.2369824540472088e-13,3.6039097904122107e-13,Opinion fragmentation
0.9,0.5,manipulation_rate,30,0.013792222222222223,0.004388304583055442,8.011911364475894e-4,0.012153602360945625,0.015430842083498821,Perceived manipulation rate
0.9,0.5,mean_trust,30,0.9998366666666667,6.910678061114459e-4,1.2617114205761514e-4,0.9995786177069488,1.0000947156263846,Mean epistemic trust
0.9,0.5,update_rate,30,0.9843477777777778,0.00465882496600344,8.505811751161076e-4,0.9826081439453903,0.9860874116101653,Opinion-update rate
0.9,0.8,fragmentation,30,5.5194162090878764e-18,3.023108761976843e-17,5.5194162090874435e-18,-5.769057429005479e-18,1.680788984718123e-17,Opinion fragmentation
0.9,0.8,manipulation_rate,30,0.008323333333333334,0.002180532994001933,3.981090360663786e-4,0.0075091089319694986,0.009137557734697169,Perceived manipulation rate
0.9,0.8,mean_trust,30,0.9999366666666667,3.4689095308660755e-4,6.333333333333377e-5,0.9998071354559983,1.000066197877335,Mean epistemic trust
0.9,0.8,update_rate,30,0.9916144444444445,0.00217551127268361,3.971921993851952e-4,0.990802095184638,0.9924267937042509,Opinion-update rate
